id,zanr
2416,Adventure
2416,Sports
5070,Action
5070,Sci-Fi
1314,Action
1314,Sci-Fi
8765,Comedy
8765,Romance
8765,Ecchi
8812,Adventure
3176,Adventure
3176,Drama
3176,Fantasy
3176,Horror
3176,Sci-Fi
3176,Supernatural
1892,Adventure
1892,Comedy
1892,Sci-Fi
3839,Comedy
3839,Fantasy
9391,Action
9391,Adventure
9391,Sci-Fi
9424,Sports
3937,Comedy
3937,Sci-Fi
339,Avant Garde
339,Award Winning
339,Drama
339,Mystery
339,Sci-Fi
339,Supernatural
339,Suspense
621,Action
621,Horror
621,Mystery
621,Supernatural
678,Action
678,Adventure
678,Drama
678,Fantasy
1743,Action
1743,Comedy
1743,Sci-Fi
1188,Comedy
2716,Comedy
145,Comedy
145,Drama
145,Romance
1017,Action
1017,Adventure
1017,Comedy
1017,Fantasy
568,Action
568,Adventure
568,Sci-Fi
1483,Adventure
1483,Drama
1483,Mystery
1629,Action
1629,Drama
1629,Horror
1629,Suspense
782,Drama
782,Supernatural
1231,Action
1231,Adventure
1231,Comedy
1231,Sci-Fi
2281,Adventure
2281,Comedy
2281,Fantasy
2281,Mystery
2281,Sci-Fi
1022,Action
1022,Adventure
1022,Comedy
1022,Drama
1022,Sci-Fi
626,Comedy
626,Fantasy
626,Romance
5132,Comedy
5132,Ecchi
718,Comedy
718,Drama
718,Romance
718,Ecchi
1660,Action
1660,Adventure
1660,Drama
1660,Sci-Fi
1599,Action
1599,Adventure
1599,Sci-Fi
2703,Sports
4591,Comedy
4591,Slice of Life
4591,Ecchi
2704,Action
2704,Mystery
2766,Adventure
2766,Comedy
4191,Adventure
4191,Fantasy
2781,Mystery
2781,Supernatural
4459,Adventure
4459,Award Winning
4459,Comedy
4459,Fantasy
4554,Comedy
5278,Action
5278,Adventure
5278,Comedy
5278,Romance
5278,Sci-Fi
1139,Adventure
1139,Fantasy
9811,Comedy
9811,Fantasy
20085,Comedy
326,Horror
326,Mystery
326,Supernatural
142,Action
142,Drama
142,Mystery
142,Romance
142,Supernatural
350,Comedy
350,Fantasy
290,Action
290,Romance
290,Sci-Fi
637,Comedy
637,Romance
637,Ecchi
360,Adventure
360,Drama
360,Fantasy
360,Supernatural
2699,Action
2699,Comedy
2699,Sci-Fi
7643,Comedy
7643,Slice of Life
6511,Action
6511,Adventure
6511,Sci-Fi
1673,Sci-Fi
2702,Adventure
8890,Comedy
8890,Romance
3114,Action
3114,Adventure
3114,Comedy
3114,Sci-Fi
3690,Adventure
3690,Comedy
3690,Romance
552,Action
552,Adventure
552,Comedy
552,Fantasy
95,Action
95,Adventure
95,Award Winning
95,Drama
95,Romance
95,Sci-Fi
1469,Action
1469,Adventure
1469,Comedy
1469,Fantasy
472,Drama
472,Romance
635,Action
635,Adventure
635,Comedy
635,Drama
992,Action
992,Comedy
992,Sci-Fi
111,Adventure
111,Comedy
111,Sci-Fi
55,Action
